# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	7.409160e-02	5	1.000000e+00	6.284160e-02	3	false	GAMG	1.000000e+00	8.357410e-02	6	true
2             	smoothSolver	4.499010e-01	3.693510e-02	6	5.963740e-01	5.561940e-02	2	false	GAMG	1.478620e-01	1.224010e-02	5	true
3             	smoothSolver	3.647820e-01	2.961200e-02	6	4.262480e-01	4.024600e-02	5	false	GAMG	2.372780e-01	2.034270e-02	4	true
4             	smoothSolver	2.089780e-01	1.472050e-02	6	2.787860e-01	2.202280e-02	5	false	GAMG	1.406530e-01	9.182760e-03	4	true
5             	smoothSolver	1.806140e-01	1.511000e-02	4	2.118690e-01	1.649980e-02	3	false	GAMG	6.328850e-02	4.437150e-03	4	true
6             	smoothSolver	1.401840e-01	1.201270e-02	4	1.879050e-01	1.661990e-02	3	false	GAMG	5.242440e-02	4.214560e-03	4	true
7             	smoothSolver	1.046880e-01	8.577930e-03	4	1.709310e-01	1.604560e-02	2	false	GAMG	3.671920e-02	1.975330e-03	4	true
8             	smoothSolver	1.059950e-01	8.202430e-03	4	1.816590e-01	1.752230e-02	2	false	GAMG	3.309660e-02	1.718450e-03	4	true
9             	smoothSolver	1.116340e-01	9.066710e-03	4	1.745030e-01	1.275630e-02	3	false	GAMG	3.721890e-02	2.889450e-03	3	true
10            	smoothSolver	1.199780e-01	9.130710e-03	4	1.707020e-01	1.495710e-02	3	false	GAMG	4.224010e-02	2.725440e-03	3	true
11            	smoothSolver	1.229270e-01	1.011840e-02	4	1.713250e-01	1.530990e-02	3	false	GAMG	5.015650e-02	3.444030e-03	3	true
12            	smoothSolver	1.225830e-01	1.160560e-02	3	1.794440e-01	1.522190e-02	3	false	GAMG	5.359090e-02	3.654470e-03	3	true
13            	smoothSolver	1.154760e-01	1.058590e-02	3	1.738070e-01	1.430070e-02	3	false	GAMG	5.500470e-02	4.090670e-03	3	true
14            	smoothSolver	1.123440e-01	9.264400e-03	3	1.692970e-01	1.364090e-02	3	false	GAMG	5.336730e-02	4.506600e-03	3	true
15            	smoothSolver	1.046170e-01	8.428520e-03	3	1.637610e-01	1.275120e-02	3	false	GAMG	5.131950e-02	4.120580e-03	3	true
16            	smoothSolver	9.905140e-02	7.468830e-03	3	1.536210e-01	1.138350e-02	3	false	GAMG	5.006880e-02	3.483310e-03	3	true
17            	smoothSolver	9.393890e-02	6.603590e-03	3	1.446990e-01	1.070920e-02	3	false	GAMG	4.722460e-02	3.499580e-03	3	true
18            	smoothSolver	8.798180e-02	6.311460e-03	3	1.349490e-01	9.230530e-03	3	false	GAMG	4.351970e-02	3.181370e-03	3	true
19            	smoothSolver	8.299840e-02	5.893420e-03	3	1.328660e-01	1.297200e-02	2	false	GAMG	3.918360e-02	3.063670e-03	3	true
20            	smoothSolver	8.277460e-02	5.586590e-03	3	1.352690e-01	8.378750e-03	3	false	GAMG	3.713580e-02	3.234120e-03	3	true
21            	smoothSolver	7.925450e-02	5.496650e-03	3	1.285990e-01	7.719750e-03	3	false	GAMG	3.463340e-02	3.279830e-03	3	true
22            	smoothSolver	7.110940e-02	5.176180e-03	3	1.213280e-01	6.763770e-03	3	false	GAMG	3.091750e-02	2.903330e-03	3	true
23            	smoothSolver	6.338790e-02	5.102910e-03	3	1.061420e-01	5.606210e-03	3	false	GAMG	2.788110e-02	2.661880e-03	3	true
24            	smoothSolver	5.385020e-02	4.910200e-03	3	9.028420e-02	4.863640e-03	3	false	GAMG	2.629820e-02	2.318290e-03	3	true
